央视,#genre#
CCTV1综合,http://139.227.21.22:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://112.27.5.218:9901/tsfile/live/faacts/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://113.57.140.161:10081/newlive/live/hls/1/live.m3u8
CCTV1综合,http://110.241.190.41:808/hls/1/index.m3u8
CCTV2财经,http://112.27.5.218:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://113.57.140.161:10081/newlive/live/hls/2/live.m3u8
CCTV2财经,http://139.227.21.22:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://110.241.190.41:808/hls/2/index.m3u8
CCTV3综艺,http://139.227.21.22:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://112.27.5.218:9901/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://113.57.140.161:10081/newlive/live/hls/3/live.m3u8
CCTV3综艺,http://110.241.190.41:808/hls/3/index.m3u8
CCTV4中文国际,http://112.27.5.218:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://139.227.21.22:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://113.57.140.161:10081/newlive/live/hls/4/live.m3u8
CCTV4中文国际,http://110.241.190.41:808/hls/4/index.m3u8
CCTV5体育,http://139.227.21.22:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://113.57.140.161:10081/newlive/live/hls/5/live.m3u8
CCTV5体育,http://110.241.190.41:808/hls/5/index.m3u8
CCTV5+体育赛事,http://112.27.5.218:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://139.227.21.22:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://113.57.140.161:10081/newlive/live/hls/6/live.m3u8
CCTV5+体育赛事,http://112.27.5.218:9901/tsfile/live/faacts/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://110.241.190.41:808/hls/17/index.m3u8
CCTV5+体育赛事,http://113.57.140.161:10081/newlive/live/hls/6/live.m3u8
CCTV6电影,http://139.227.21.22:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://112.27.5.218:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://113.57.140.161:10081/newlive/live/hls/7/live.m3u8
CCTV6电影,http://110.241.190.41:808/hls/6/index.m3u8
CCTV7国防军事,http://113.57.140.161:10081/newlive/live/hls/7/live.m3u8
CCTV7国防军事,http://139.227.21.22:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://113.57.140.161:10081/newlive/live/hls/8/live.m3u8
CCTV7国防军事,http://112.27.5.218:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7军事农业,http://110.241.190.41:808/hls/7/index.m3u8
CCTV8电视剧,http://113.57.140.161:10081/newlive/live/hls/8/live.m3u8
CCTV8电视剧,http://139.227.21.22:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://112.27.5.218:9901/tsfile/live/faacts/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://110.241.190.41:808/hls/8/index.m3u8
CCTV9纪录,http://112.27.5.218:9901/tsfile/live/faacts/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://110.241.190.41:808/hls/9/index.m3u8
CCTV9纪录,http://113.57.140.161:10081/newlive/live/hls/9/live.m3u8
CCTV9纪录,http://139.227.21.22:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://139.227.21.22:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://112.27.5.218:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://110.241.190.41:808/hls/10/index.m3u8
CCTV11戏曲,http://139.227.21.22:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://113.57.140.161:10081/newlive/live/hls/34/live.m3u8
CCTV11戏曲,http://112.27.5.218:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://110.241.190.41:808/hls/11/index.m3u8
CCTV12社会与法,http://113.57.140.161:10081/newlive/live/hls/10/live.m3u8
CCTV12社会与法,http://139.227.21.22:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://112.27.5.218:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12社会与法,http://110.241.190.41:808/hls/12/index.m3u8
CCTV13新闻,http://113.57.140.161:10081/newlive/live/hls/11/live.m3u8
CCTV13新闻,http://139.227.21.22:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://113.57.140.161:10081/newlive/live/hls/14/live.m3u8
CCTV13新闻,http://112.27.5.218:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13新闻,http://110.241.190.41:808/hls/13/index.m3u8
CCTV14少儿,http://113.57.140.161:10081/newlive/live/hls/12/live.m3u8
CCTV14少儿,http://113.57.140.161:10081/newlive/live/hls/13/live.m3u8
CCTV14少儿,http://139.227.21.22:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://113.57.140.161:10081/newlive/live/hls/15/live.m3u8
CCTV14少儿,http://112.27.5.218:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14少儿,http://110.241.190.41:808/hls/14/index.m3u8
CCTV15音乐,http://139.227.21.22:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15音乐,http://110.241.190.41:808/hls/15/index.m3u8
CCTV15音乐,http://113.57.140.161:10081/newlive/live/hls/16/live.m3u8
CCTV15音乐,http://112.27.5.218:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://112.27.5.218:9901/tsfile/live/faacts/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://113.57.140.161:10081/newlive/live/hls/17/live.m3u8
CCTV17农业农村,http://112.27.5.218:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://113.57.140.161:10081/newlive/live/hls/37/live.m3u8
CETV1,http://112.27.5.218:9901/tsfile/live/faacts/1050_1.m3u8?key=txiptv&playlive=1&authid=0
CETV1,http://112.27.5.218:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://60.8.75.178:9002/hls/16/index.m3u8
CCTV风云剧场,http://120.209.208.163:9003/hls/4/index.m3u8
劲爆体育,http://113.57.140.161:10081/newlive/live/hls/35/live.m3u8
兵器科技,http://113.57.140.161:10081/newlive/live/hls/20/live.m3u8
