央视,#genre#
CCTV1,http://115.171.216.32:4000/rtp/225.1.8.1:8008$北京电信11
CCTV1,http://114.226.212.152:8787/rtp/239.49.8.129:6000$江苏电信11
CCTV1,http://171.119.205.203:6000/rtp/226.0.2.153:9136$山西联通11
CCTV1,http://124.112.189.92:4022/rtp/238.1.78.166:7200$安徽电信11
CCTV1,http://1.192.246.243:8188/rtp/239.16.20.1:10010$河南电信11
CCTV1,http://115.171.216.32:4000/rtp/225.1.8.33:8002$北京电信12
CCTV1,http://114.226.212.152:8787/rtp/239.49.8.19:9614$江苏电信12
CCTV1,http://115.171.216.32:4000/rtp/225.1.8.53:8060$北京电信13
CCTV1,http://115.171.216.32:4000/rtp/225.1.8.81:8176$北京电信14
CCTV1,http://115.171.216.32:4000/rtp/225.1.8.126:8002$北京电信15
CCTV1,http://115.171.216.32:4000/rtp/225.1.8.194:4120$北京电信16
CCTV1,http://115.171.216.32:4000/rtp/225.1.8.210:8068$北京电信17
CCTV1,http://115.171.216.40:4000/rtp/225.1.8.1:8008$北京电信21
CCTV1,http://121.237.244.148:8888/rtp/239.49.8.129:6000$江苏电信21
CCTV1,http://171.8.170.140:8800/rtp/239.16.20.1:10010$河南电信21
CCTV1,http://115.171.216.40:4000/rtp/225.1.8.33:8002$北京电信22
CCTV1,http://121.237.244.148:8888/rtp/239.49.8.19:9614$江苏电信22
CCTV1,http://115.171.216.40:4000/rtp/225.1.8.53:8060$北京电信23
CCTV1,http://115.171.216.40:4000/rtp/225.1.8.81:8176$北京电信24
CCTV1,http://115.171.216.40:4000/rtp/225.1.8.126:8002$北京电信25
CCTV1,http://115.171.216.40:4000/rtp/225.1.8.194:4120$北京电信26
CCTV1,http://115.171.216.40:4000/rtp/225.1.8.210:8068$北京电信27
CCTV1,https://iptv.qqff.de/u/BbyJMAC-eaNXwY4ck_AZE8wo/608807420
CCTV2,https://iptv.qqff.de/u/BbyJMAC-eaNXwY4ck_AZE8wo/631780532
CCTV2,http://183.236.43.98:4013/udp/239.77.1.158:5146$广东电信11
CCTV2,http://211.158.169.173:8888/udp/225.0.4.132:7980$重庆联通11
CCTV2,http://115.171.216.32:4000/rtp/225.1.8.2:8084$北京电信11
CCTV2,http://114.226.212.152:8787/rtp/239.49.8.130:6000$江苏电信11
CCTV2,http://171.119.205.203:6000/rtp/226.0.2.154:9144$山西联通11
CCTV2,http://124.112.189.92:4022/rtp/238.1.78.235:7752$安徽电信11
CCTV2,http://1.192.246.243:8188/rtp/239.16.20.2:10020$河南电信11
CCTV2,http://114.226.212.152:8787/rtp/239.49.8.50:9802$江苏电信12
CCTV2,http://115.171.216.40:4000/rtp/225.1.8.2:8084$北京电信21
CCTV2,http://121.237.244.148:8888/rtp/239.49.8.130:6000$江苏电信21
CCTV2,http://171.8.170.140:8800/rtp/239.16.20.2:10020$河南电信21
CCTV2,http://121.237.244.148:8888/rtp/239.49.8.50:9802$江苏电信22
CCTV3,https://iptv.qqff.de/u/BbyJMAC-eaNXwY4ck_AZE8wo/624878271
CCTV3,http://183.236.43.98:4013/udp/239.77.0.169:5146$广东电信11
CCTV3,http://211.158.169.173:8888/udp/225.0.4.142:7980$重庆联通11
CCTV3,http://115.171.216.32:4000/rtp/225.1.8.88:8000$北京电信11
CCTV3,http://114.226.212.152:8787/rtp/239.49.1.3:6000$江苏电信11
CCTV3,http://171.119.205.203:6000/rtp/226.0.2.208:9576$山西联通11
CCTV3,http://124.112.189.92:4022/rtp/238.1.78.170:7232$安徽电信11
CCTV3,http://1.192.246.243:8188/rtp/239.16.20.3:10030$河南电信11
CCTV3,http://115.171.216.40:4000/rtp/225.1.8.88:8000$北京电信21
CCTV3,http://121.237.244.148:8888/rtp/239.49.1.3:6000$江苏电信21
CCTV3,http://171.8.170.140:8800/rtp/239.16.20.3:10030$河南电信21
CCTV4,https://iptv.qqff.de/u/BbyJMAC-eaNXwY4ck_AZE8wo/631780421
CCTV4,http://183.236.43.98:4013/udp/239.77.1.163:5146$广东电信11
CCTV4,http://211.158.169.173:8888/udp/225.0.4.176:7980$重庆联通11
CCTV4,http://115.171.216.32:4000/rtp/225.1.8.4:8092$北京电信11
CCTV4,http://114.226.212.152:8787/rtp/239.49.8.131:6000$江苏电信11
CCTV4,http://171.119.205.203:6000/rtp/226.0.2.156:9160$山西联通11
CCTV4,http://124.112.189.92:4022/rtp/238.1.78.236:7760$安徽电信11
CCTV4,http://1.192.246.243:8188/rtp/239.16.20.4:10040$河南电信11
CCTV4,http://115.171.216.40:4000/rtp/225.1.8.4:8092$北京电信21
CCTV4,http://121.237.244.148:8888/rtp/239.49.8.131:6000$江苏电信21
CCTV4,http://171.8.170.140:8800/rtp/239.16.20.4:10040$河南电信21
CCTV5,https://iptv.qqff.de/u/BbyJMAC-eaNXwY4ck_AZE8wo/641886683
CCTV5,http://183.236.43.98:4013/udp/239.77.0.170:5146$广东电信11
CCTV5,http://211.158.169.173:8888/udp/225.0.4.143:7980$重庆联通11
CCTV5,http://115.171.216.32:4000/rtp/225.1.8.89:8000$北京电信11
CCTV5,http://114.226.212.152:8787/rtp/239.49.1.5:6000$江苏电信11
CCTV5,http://171.119.205.203:6000/rtp/226.0.2.209:9584$山西联通11
CCTV5,http://124.112.189.92:4022/rtp/238.1.78.171:7240$安徽电信11
CCTV5,http://1.192.246.243:8188/rtp/239.16.20.53:10530$河南电信11
CCTV5,http://115.171.216.40:4000/rtp/225.1.8.89:8000$北京电信21
CCTV5,http://121.237.244.148:8888/rtp/239.49.1.5:6000$江苏电信21
CCTV5,http://171.8.170.140:8800/rtp/239.16.20.53:10530$河南电信21
CCTV5+,https://iptv.qqff.de/u/BbyJMAC-eaNXwY4ck_AZE8wo/641886773
CCTV5+,http://183.236.43.98:4013/udp/239.77.0.87:5146$广东电信11
CCTV5+,http://211.158.169.173:8888/udp/225.0.4.73:7980$重庆联通11
CCTV5+,http://115.171.216.32:4000/rtp/225.1.8.20:8004$北京电信11
CCTV5+,http://114.226.212.152:8787/rtp/239.49.8.18:9610$江苏电信11
